"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,Info,Number of connected,csv row,pruning type
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Lowest OS Scan,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Second DNS Flood,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Highest SYN Flood,6,0,
26,None,6,0,
26,None,6,0,
26,Highest Slowloris,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Lowest DNS Flood,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Second Port Scan,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Second SYN Flood,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Lowest SYN Flood,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Second Slowloris,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Second Benign,6,0,
26,None,6,0,
26,None,6,0,
26,Lowest Benign,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Highest Benign,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,Highest DNS Flood,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
26,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Lowest DNS Flood,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Second DNS Flood,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Second OS Scan,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Second Benign,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Highest DNS Flood,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Second Slowloris,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Highest Dictionary Attack,6,0,
25,Second Dictionary Attack,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Lowest Benign,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Highest Benign,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Lowest Dictionary Attack,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Lowest Slowloris,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,Lowest Port Scan,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
25,None,6,0,
24,None,6,0,
24,Highest Benign,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Second Dictionary Attack,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Second Benign,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Lowest Port Scan,6,0,
24,None,6,0,
24,Highest Port Scan,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Highest DNS Flood,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Lowest Benign,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Second Slowloris,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Lowest Slowloris,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Lowest UDP Flood,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Second Port Scan,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,Lowest DNS Flood,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
24,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Lowest Slowloris,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Lowest Dictionary Attack,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Lowest Benign,6,0,
23,Highest DNS Flood,6,0,
23,None,6,0,
23,None,6,0,
23,Second Port Scan,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Second DNS Flood,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Second Benign,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Lowest Port Scan,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Second Slowloris,6,0,
23,None,6,0,
23,None,6,0,
23,Highest Benign,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Lowest DNS Flood,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,Highest Slowloris,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
23,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Second DNS Flood,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Lowest Slowloris,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Second Slowloris,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Highest DNS Flood,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Lowest Benign,6,0,
22,Second Benign,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Lowest Port Scan,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Lowest DNS Flood,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Second UDP Flood,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Highest Slowloris,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,Highest Benign,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
22,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Highest Slowloris,6,0,
21,None,6,0,
21,Second Benign,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Lowest DNS Flood,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Highest DNS Flood,6,0,
21,None,6,0,
21,Second DNS Flood,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Highest Benign,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Lowest Benign,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,Lowest Slowloris,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
21,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,Lowest Benign,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,Lowest DNS Flood,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,Highest Benign,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
20,None,6,0,
